<details> <summary> <b>openwrt-passwall new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/Openwrt-Passwall/openwrt-passwall/compare/ef6edba00f49dd6273f2a4b3d0b7054fd0b1f9e5...68b91e0c6e5b3beaa918df8fc2b40d55e0928047)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
68b91e0c|A-BO|Tue Aug 25 01:44:03 2026 +0800|luci: optimize socks node
cfab3756|David Mandy|Mon Aug 24 23:26:28 2026 +0800|luci: fixed the issue where the server-side firewall was not refreshing. Signed-off-by: David Mandy <smallprogramzhusir@gmail.com>
ec2b4e58|A-BO|Mon Aug 24 22:29:54 2026 +0800|luci: code format
8b66690f|A-BO|Mon Aug 24 20:59:54 2026 +0800|luci: normalize text files to LF
56a4939c|A-BO|Mon Aug 24 20:52:14 2026 +0800|luci: add .gitattributes
5e207af8|A-BO|Mon Aug 24 16:43:42 2026 +0800|luci: fixup
7ef73f08|A-BO|Sun Aug 23 21:54:58 2026 +0800|luci: server: use UCI config instead of firewall rules
bc835e92|A-BO|Sun Aug 23 21:17:32 2026 +0800|luci: compatible with some themes
c83f0431|A-BO|Sun Aug 23 20:23:44 2026 +0800|luci: optimize socks list status display
7f44fe7a|A-BO|Sun Aug 23 16:43:00 2026 +0800| luci: adjust code
c89cec73|A-BO|Sun Aug 23 16:16:55 2026 +0800|luci: fix when routing rules is null
3355824f|A-BO|Sun Aug 23 14:07:22 2026 +0800|luci: disallow empty or zero socks port
15ba20e1|A-BO|Sun Aug 23 13:47:08 2026 +0800|luci: optimize node application logic in the node list
</details>
