<details> <summary> <b>immortalwrt new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/immortalwrt/immortalwrt/compare/1d34e7b88708d4eeb3feabe0b2b6f835a909c9c0...e9da8e56c2260d398176f8e10a5da1ab18f12e9c)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
e9da8e56c2|Tianling Shen|Thu Sep 3 16:10:16 2026 +0800|Merge Official Source
53846db686|Shine|Thu Mar 19 08:53:44 2026 +0100|mpc85xx: p1010: TL-WDR4900v1: DTS update for RFKILL switch
a9cddf7f3c|Shine|Thu Mar 19 08:38:40 2026 +0100|mpc85xx: use gpio-button-hotplug as input subsystem
449f43829b|Pawel Dembicki|Wed Feb 25 21:06:28 2026 +0100|mpc85xx: remove swconfig package
7fb214fa9c|Pawel Dembicki|Tue Feb 24 09:35:49 2026 +0100|mpc85xx: p2020: switch P2020RDB to DSA
fb1f765ccd|Edward Chow|Mon Apr 27 11:13:51 2026 +0800|mpc85xx: unify wrapper address of simple image devices
c44e5e1fdc|Edward Chow|Thu Apr 30 05:52:10 2026 +0800|mpc85xx: ws-ap3715i: use libdeflate-gzip for kernel
1ab66b443d|Edward Chow|Tue Apr 28 11:29:01 2026 +0800|mpc85xx: ws-ap3715i: enable access to u-boot env
b6a820ea85|Mikhail Kshevetskiy|Sun Aug 9 21:57:14 2026 +0300|airoha: an7581: dts: update number of available gpios
69c4af7d2c|Mikhail Kshevetskiy|Sun Aug 9 21:39:30 2026 +0300|uboot-airoha: update an7583 patches
696e6de55d|Mikhail Kshevetskiy|Sun Aug 9 21:25:48 2026 +0300|uboot-airoha: update pinctrl driver to match linux-7.3
dc1a8125d0|Mikhail Kshevetskiy|Mon Aug 24 02:39:54 2026 +0300|airoha: update pinctrl driver to match linux-7.3
</details>
