<details> <summary> <b>helloworld new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/fw876/helloworld/compare/44553bcc043b37356c158657aeed0daad52a1167...f57afa54c901adf332ec3b145f71421e44918b92)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
f57afa5|zxlhhyccc|Sun Sep 13 19:59:32 2026 +0800|luci-app-ssr-plus: Fix subscribe type erro.
65bd5a4|zxlhhyccc|Sun Sep 13 19:56:31 2026 +0800|gn: update to git HEAD (2026-09-02)
6329b39|zxlhhyccc|Sun Sep 13 19:38:42 2026 +0800|luci-app-ssr-plus: Add SOCKS5 auth and unify DNS/Sniffer handling.
d5645f1|zxlhhyccc|Sun Sep 13 12:55:46 2026 +0800|luci-app-ssr-plus: neaten mihomo SOCKS5 authentication.
0405684|zxl hhyccc|Sun Sep 13 00:46:14 2026 +0800|Merge pull request #2045 from zxlhhyccc/fake-ip
e1f753f|zxlhhyccc|Sun Sep 13 00:36:32 2026 +0800|luci-app-ssr-plus: Add mihomo SOCKS5 authentication support.
6af1631|zxlhhyccc|Sun Sep 13 00:33:46 2026 +0800|luci-app-ssr-plus: Fix YAML line processing pattern
b96067c|zxl hhyccc|Sat Sep 12 20:53:37 2026 +0800|Merge pull request #2044 from zxlhhyccc/fake-ip
56f56ec|zxlhhyccc|Wed Sep 9 23:50:35 2026 +0800|luci-app-ssr-plus: Add fake-ip mode and Fix Upload yaml config cannot use external DNS resolution.
37e1ad7|zxl hhyccc|Thu Sep 10 23:31:49 2026 +0800|shadowsocks-rust: update to 1.25.0
8663a89|zxl hhyccc|Thu Sep 10 23:30:20 2026 +0800|xray-core: update to 26.9.9
4efbf62|coolsnowwolf|Wed Sep 9 21:38:36 2026 +0800|luci-app-ssr-plus: fix SOCKS5 server startup
</details>
