<details> <summary> <b>lede new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/coolsnowwolf/lede/compare/c6b59cab30c8cc59aa97618fd86947650aa9b19a...cfc4a0d25a6440270deb028feece921e382ee5d7)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
cfc4a0d25|coolsnowwolf|Sun Sep 13 10:46:17 2026 +0800|ipq806x: fix Linksys E8350 switch configuration
ce32b4141|coolsnowwolf|Sun Sep 13 01:33:33 2026 +0800|phytium: package D3000M DC GPU VPU and NPU drivers out of tree
226ca700c|coolsnowwolf|Sun Sep 13 00:41:39 2026 +0800|phytium: add Linux 6.18 support and make it default
b14ce3447|coolsnowwolf|Sat Sep 12 22:05:52 2026 +0800|mt7615d: limit Linux 6.18 compatibility patch
28faac432|coolsnowwolf|Sat Sep 12 21:36:06 2026 +0800|uboot-rockchip: add HINLINK H66K and H68K support
b13b5d800|coolsnowwolf|Sat Sep 12 21:35:42 2026 +0800|uboot-rockchip: add dedicated U-Boot for EasePi R1
35436874a|coolsnowwolf|Sat Sep 12 17:24:13 2026 +0800|kernel: bump 6.12 to 6.12.109 and 6.18 to 6.18.51
895d1c266|wybb|Sat Sep 12 16:22:15 2026 +0800|x86: enable Hyper-V VMBus on Linux 6.18 (#14173)
9f26e6205|coolsnowwolf|Sat Sep 12 11:07:49 2026 +0800|build: avoid reciprocal conflict dependency cycles
cdd1d5dab|coolsnowwolf|Sat Sep 12 10:07:02 2026 +0800|rockchip: add LinkEase EasePi R1 support
ddab77bd4|coolsnowwolf|Sat Sep 12 09:04:49 2026 +0800|rockchip: keep PTP and GMAC built in on kernel 6.18
f820e495d|coolsnowwolf|Fri Sep 11 21:45:36 2026 +0800|samba: remove standalone autosamba package
e32b3ab9a|coolsnowwolf|Fri Sep 11 14:12:08 2026 +0800|amlogic: add mesongx OneThing Cloud OES / OES Plus support
8ba954349|coolsnowwolf|Fri Sep 11 10:25:45 2026 +0800|qualcommax: enable switchdev on Linux 6.18
eac875c78|coolsnowwolf|Thu Sep 10 20:40:35 2026 +0800|qca-nss-dp: fix hardware STP state synchronization


</details>
