<details> <summary> <b>luci new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/openwrt/luci/compare/0f38c02b5e2a1cc756f0e7905a8d99d4aa0b2e54...f883d904d6496e55ae44b414f1fefdfedfff369d)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
f883d904d6|Victoria Grain|Sat Jul 4 20:30:35 2026 +0200|luci-app-olsr: re-add missing interface creation
cf6fbb71f7|Victoria Grain|Mon Jun 22 19:39:54 2026 +0200|luci-app-olsr: handle multi-line jsoninfo response
ff1e070c96|Victoria Grain|Thu Jun 18 20:26:58 2026 +0200|luci-app-olsr: update common_js location
8afa846a3b|Victoria Grain|Thu Jun 18 20:04:41 2026 +0200|luci-app-olsr: support large jsoninfo responses
6dbd6d299a|Victoria Grain|Thu Jun 18 13:08:14 2026 +0200|luci-app-olsr: fix undefined functions
6fc5bc3545|Paul Donald|Fri May 22 14:32:21 2026 +0300|luci-app-olsr: correctness fixes
26299643a4|Dirk Brenken|Sat Sep 12 20:37:51 2026 +0200|luci-app-travelmate: fix missing vpn color on the wireless stations page
7f05feb8df|Dirk Brenken|Thu Sep 10 20:03:51 2026 +0200|luci-app-banip: sync with base package 1.8.13-2
faa0ee75c7|Dirk Brenken|Wed Sep 9 22:57:53 2026 +0200|luci-app-travelmate: sync with base package 2.4.9-2
6502bc6d86|Dirk Brenken|Wed Sep 9 21:39:19 2026 +0200|luci-app-adblock: sync with base package 4.5.8-1
</details>
